,ID,trial,TargetPosition,RT,ampWinner,ampAveraging
471,471,71,50,754,55,34.23165233280569
472,472,72,50,759,49,34.82911265012791
473,473,73,50,753,43,33.72127518295449
474,474,74,50,758,45,35.65449329373096
475,475,75,50,753,50,34.77492416332159
476,476,76,50,754,48,35.57341665325635
477,477,77,50,750,43,35.34537902976968
478,478,78,50,756,46,36.00595649830093
479,479,79,50,752,45,35.51376100680106
480,480,80,50,755,47,34.218632106641756
481,481,81,50,753,45,33.65246265178124
482,482,82,50,758,42,34.96545277675801
483,483,83,50,756,43,36.81752122396817
484,484,84,50,755,41,36.31274845771068
485,485,85,50,753,41,35.089575489674424
486,486,86,50,758,44,35.583596188966105
487,487,87,50,752,48,34.673343400570026
488,488,88,50,753,40,35.28602807082982
489,489,89,50,756,49,35.299990669328565
490,490,90,50,753,56,36.076215410404615
491,491,91,50,755,46,34.59863329025147
492,492,92,50,755,48,35.35462324545172
493,493,93,50,756,45,34.23331443354128
494,494,94,50,751,48,34.133873464793695
495,495,95,50,757,42,35.68766041676278
496,496,96,50,751,51,34.648188212303396
497,497,97,50,755,46,35.349565762143065
498,498,98,50,754,49,35.39048293823108
499,499,99,50,751,42,34.871744635503575
500,500,0,60,758,52,34.90959324046916
501,501,1,60,761,41,38.40864280215961
502,502,2,60,755,46,37.331002190536296
503,503,3,60,753,48,35.3386478446689
504,504,4,60,751,46,35.877851674803196
505,505,5,60,753,45,38.02197890350093
506,506,6,60,753,45,36.19821554673535
507,507,7,60,757,44,39.05685590223018
508,508,8,60,762,58,37.96198663816892
509,509,9,60,754,57,37.62682470081376
510,510,10,60,754,47,36.343769710882185
511,511,11,60,756,51,35.86938377557835
512,512,12,60,756,45,40.13641113601224
513,513,13,60,758,43,38.36583744840563
514,514,14,60,597,42,32.82408660248154
515,515,15,60,753,49,35.87025737395748
516,516,16,60,752,50,36.496516272047785
517,517,17,60,757,53,41.32666625016234
518,518,18,60,755,47,37.547911398502706
519,519,19,60,751,48,36.55045370812165
520,520,20,60,753,46,38.13069354362523
521,521,21,60,529,48,30.978306345730104
522,522,22,60,754,44,36.205617017201185
523,523,23,60,754,45,37.5502834809414
524,524,24,60,754,51,38.56060975480058
525,525,25,60,753,42,37.10288944018004
526,526,26,60,755,44,36.427756832168726
527,527,27,60,756,44,36.50481034462372
528,528,28,60,757,46,38.7465719128967
529,529,29,60,754,44,37.330868062877464
530,530,30,60,756,57,39.24106428709446
531,531,31,60,758,45,39.83128314518235
532,532,32,60,753,50,38.28903303316702
533,533,33,60,754,48,36.801310732981
534,534,34,60,757,47,36.86684520599818
535,535,35,60,757,46,37.60700324004541
536,536,36,60,760,47,36.52377230351674
537,537,37,60,753,44,37.56242967579116
538,538,38,60,485,41,31.017968134935973
539,539,39,60,761,42,38.83516029864255
540,540,40,60,757,50,36.6156539340556
541,541,41,60,757,47,36.83237885518111
542,542,42,60,754,60,38.17118480686929
543,543,43,60,755,59,36.91592687386373
544,544,44,60,755,51,36.72791785735807
545,545,45,60,759,63,38.52772059059278
546,546,46,60,753,55,40.388233999851025
547,547,47,60,753,44,38.19097934254579
548,548,48,60,751,43,39.38929424844938
549,549,49,60,754,47,35.022654011094644
550,550,50,60,758,49,38.66744437361872
551,551,51,60,750,44,35.084265193796355
552,552,52,60,753,45,36.223011828456784
553,553,53,60,754,43,35.32634931590207
554,554,54,60,755,43,36.4134309364284
555,555,55,60,757,52,38.73063355561721
556,556,56,60,756,48,37.37791834565632
557,557,57,60,757,46,35.53217560523438
558,558,58,60,762,42,38.208266849122936
559,559,59,60,754,50,37.66942021602533
560,560,60,60,616,47,34.33471675111164
561,561,61,60,751,49,35.96972688308611
562,562,62,60,753,47,37.272855752650116
563,563,63,60,752,45,34.84140728944367
564,564,64,60,754,50,38.03708277096447
565,565,65,60,755,47,36.52270750994547
566,566,66,60,755,46,37.22526627964267
567,567,67,60,755,58,38.5112914132251
568,568,68,60,314,50,33.25894006973439
569,569,69,60,755,46,37.378995000390184
570,570,70,60,753,49,40.03341927625166
571,571,71,60,754,55,35.70776379551159
572,572,72,60,759,49,37.245071642188435
573,573,73,60,758,51,36.250771612142934
574,574,74,60,758,45,38.09076740929649
575,575,75,60,753,50,35.96563543493626
576,576,76,60,755,48,37.72195134411182
577,577,77,60,753,43,38.24876715770201
578,578,78,60,757,46,38.485800564027286
579,579,79,60,754,48,37.2749494450909
580,580,80,60,755,47,35.71472582296732
581,581,81,60,755,45,35.97239317112267
582,582,82,60,761,42,37.82810260675093
583,583,83,60,756,46,39.037801791163766
584,584,84,60,756,45,38.54863330501555
585,585,85,60,753,46,36.51598636245208
586,586,86,60,758,52,37.69959656069631
587,587,87,60,752,48,35.75379273831777
588,588,88,60,756,44,39.038819000972346
589,589,89,60,756,49,37.17112668896662
590,590,90,60,753,56,37.28350387350732
591,591,91,60,757,47,36.241771451506466
592,592,92,60,755,48,37.07849114468645
593,593,93,60,756,49,35.80539943397265
594,594,94,60,751,48,34.96882454086027
595,595,95,60,758,42,38.01711616226044
596,596,96,60,751,51,35.558989412490874
597,597,97,60,758,49,37.51654826856363
598,598,98,60,754,49,36.964288753277266
599,599,99,60,751,42,35.790667268987974
600,600,0,70,778,48,39.67719050988083
601,601,1,70,785,58,48.80586924193724
602,602,2,70,760,46,40.53214058466913
603,603,3,70,755,48,37.06603117185356
604,604,4,70,755,51,38.70822061138552
605,605,5,70,761,46,42.140767571535385
606,606,6,70,762,45,39.714805262231316
607,607,7,70,765,49,42.96938708176971
608,608,8,70,763,58,39.53684215169599
609,609,9,70,755,57,39.202351073719186
610,610,10,70,760,54,40.986489226191225
611,611,11,70,764,46,40.28871441451174
612,612,12,70,764,53,43.85531090875643
613,613,13,70,758,58,39.70742063992312
614,614,14,70,597,42,32.82408660248154
615,615,15,70,767,60,41.552345342653396
616,616,16,70,765,54,42.71222412167437
617,617,17,70,759,67,43.28698616810825
618,618,18,70,759,47,39.70585991835777
619,619,19,70,762,51,41.894697306192406
620,620,20,70,757,63,42.66563373287949
621,621,21,70,529,48,30.978306345730104
622,622,22,70,757,44,38.001290394219836
623,623,23,70,770,54,40.970391643244554
624,624,24,70,763,61,44.001555848925044
625,625,25,70,756,57,39.65490386365854
626,626,26,70,768,41,38.75660998810876
627,627,27,70,792,52,49.46533809248905
628,628,28,70,759,53,40.06422311657212
629,629,29,70,760,52,40.7886397594614
630,630,30,70,756,57,40.86349250551691
631,631,31,70,759,56,41.83486327555091
632,632,32,70,760,50,40.1860153302297
633,633,33,70,778,50,44.11901454066025
634,634,34,70,777,52,41.946761982647175
635,635,35,70,765,52,41.48825792389582
636,636,36,70,762,47,38.57018366448496
637,637,37,70,757,69,41.68819287844416
638,638,38,70,485,41,31.017968134935973
639,639,39,70,764,56,40.450150154599115
640,640,40,70,777,42,40.42338602797256
641,641,41,70,779,49,44.392806949870085
642,642,42,70,754,60,39.533020004942045
643,643,43,70,755,59,37.923066771087306
644,644,44,70,759,60,39.52300743450361
645,645,45,70,757,63,39.03882753103177
646,646,46,70,753,55,41.642522170102524
647,647,47,70,755,52,40.06521537625211
648,648,48,70,752,51,40.75134625239137
649,649,49,70,767,54,37.781572857824095
650,650,50,70,767,61,42.21040519015615
651,651,51,70,756,50,39.24109662510495
652,652,52,70,756,61,38.454394763984475
653,653,53,70,772,55,38.09688438978232
654,654,54,70,758,43,38.3360127103816
655,655,55,70,767,51,42.16797237357924
656,656,56,70,757,53,38.72356319113543
657,657,57,70,786,63,45.49772007101224
658,658,58,70,777,47,41.41252020595179
659,659,59,70,760,50,41.89430988163234
660,660,60,70,616,47,34.33471675111164
661,661,61,70,752,49,37.68093825208999
662,662,62,70,764,55,42.76081895251984
663,663,63,70,753,45,35.71520980638245
664,664,64,70,755,50,40.201880950337
665,665,65,70,764,56,40.44946798310912
666,666,66,70,760,51,40.13362491146543
667,667,67,70,755,58,39.82842059463065
668,668,68,70,314,50,33.25894006973439
669,669,69,70,758,56,39.776991689124685
670,670,70,70,755,49,43.02008163490923
671,671,71,70,754,55,36.52429399768042
672,672,72,70,786,60,46.936976120019104
673,673,73,70,780,50,37.76920806794043
674,674,74,70,769,52,42.31525133127573
675,675,75,70,773,47,41.687172625632144
676,676,76,70,756,48,39.680105968180236
677,677,77,70,757,55,41.074489109185585
678,678,78,70,763,60,40.86847688662528
679,679,79,70,761,57,40.27349694530823
680,680,80,70,769,47,38.7432834033745
681,681,81,70,766,49,38.761875462799544
682,682,82,70,775,48,40.87025280510467
683,683,83,70,777,55,45.31609397362904
684,684,84,70,759,50,40.85265998730852
685,685,85,70,763,63,41.31383359346519
686,686,86,70,760,52,39.2946574605426
687,687,87,70,756,51,38.51582925925956
688,688,88,70,760,56,42.15750853409234
689,689,89,70,761,56,40.74889578547068
690,690,90,70,755,56,38.64213250030776
691,691,91,70,768,56,40.46824587802088
692,692,92,70,758,57,38.909560981235394
693,693,93,70,763,45,38.16872813298924
694,694,94,70,753,48,37.43915863886134
695,695,95,70,762,53,41.574216893825
696,696,96,70,752,51,36.41322489811181
697,697,97,70,765,58,41.722645888819265
698,698,98,70,761,57,40.71866573063325
699,699,99,70,757,55,40.4776387504403
700,700,0,80,824,51,53.96344977208824
701,701,1,80,797,63,56.64900333853729
702,702,2,80,798,59,51.124221281882576
703,703,3,80,805,69,63.101433267708536
704,704,4,80,769,51,42.98113067455943
705,705,5,80,790,57,55.60331495080653
706,706,6,80,798,62,53.23281151995362
707,707,7,80,774,52,45.157030235711794
708,708,8,80,814,63,54.88279400234941
709,709,9,80,798,59,49.77366389763144
710,710,10,80,803,47,55.659248383320396
711,711,11,80,771,66,41.614451074646325
712,712,12,80,795,63,58.52647316292295
713,713,13,80,790,62,45.041857607678814
714,714,14,80,597,42,32.82408660248154
715,715,15,80,798,67,57.60252416396077
716,716,16,80,793,56,53.090987778716936
717,717,17,80,774,67,42.29261356699497
718,718,18,80,775,58,42.4276027947963
719,719,19,80,790,54,49.362221490148315
720,720,20,80,793,59,57.56739562927463
721,721,21,80,529,48,30.978306345730104
722,722,22,80,813,69,57.21960512161484
723,723,23,80,795,63,54.80480220589632
724,724,24,80,786,57,54.5033101150205
725,725,25,80,759,57,40.68730230211869
726,726,26,80,818,62,57.804946700037334
727,727,27,80,812,66,59.213259092555276
728,728,28,80,797,54,54.26526718649423
729,729,29,80,807,49,53.23182851715855
730,730,30,80,795,70,58.26675150768677
731,731,31,80,791,58,58.26931278813826
732,732,32,80,794,65,51.58424126355801
733,733,33,80,795,55,52.75088090643216
734,734,34,80,793,52,48.443808247407425
